url,strategy,performance,accessibility,seo,best-practices,lcp_ms,lcp,cls,inp_ms,inp,fcp_ms,fcp,tbt_ms,speed_index
https://mzglobaltrading.com/apparel/babyandkids/babybibs/,mobile,75,87,100,100,4442,4.4 s,0.066,N/A,N/A,3017,3.0 s,0,5.3 s
https://mzglobaltrading.com/apparel/babyandkids/babybibs/,desktop,84,87,100,100,1129,1.1 s,0.222,N/A,N/A,989,1.0 s,0,1.5 s
https://mzglobaltrading.com/apparel/babyandkids/babyhoodedtowels/,mobile,76,87,100,96,4577,4.6 s,0.071,N/A,N/A,3227,3.2 s,0,3.6 s
https://mzglobaltrading.com/apparel/babyandkids/babyhoodedtowels/,desktop,81,91,100,100,1211,1.2 s,0.251,N/A,N/A,1111,1.1 s,0,1.5 s
https://mzglobaltrading.com/apparel/babyandkids/babyrompers/,mobile,78,87,100,100,4343,4.3 s,0.066,N/A,N/A,3218,3.2 s,0,3.5 s
https://mzglobaltrading.com/apparel/babyandkids/babyrompers/,desktop,71,87,100,100,1480,1.5 s,0.338,N/A,N/A,1460,1.5 s,0,1.8 s
https://mzglobaltrading.com/apparel/babyandkids/,mobile,73,95,100,96,4825,4.8 s,0.096,N/A,N/A,3175,3.2 s,0,3.7 s
https://mzglobaltrading.com/apparel/babyandkids/,desktop,66,95,100,100,1547,1.5 s,0.488,N/A,N/A,1507,1.5 s,0,1.9 s
https://mzglobaltrading.com/apparel/babyandkids/overalls/,mobile,66,87,100,100,4348,4.3 s,0.349,N/A,N/A,2035,2.0 s,0,3.4 s
https://mzglobaltrading.com/apparel/babyandkids/overalls/,desktop,79,87,100,100,1182,1.2 s,0.299,N/A,N/A,1162,1.2 s,0,1.4 s
